ID_Pesanan,Waktu_Transaksi,Kategori_Menu,Harga_Pesanan,Jarak_Kirim_KM,Waktu_Tunggu_Menit,Rating_Pelanggan,Ulasan_Teks,Status_Promo,Tingkat_Keluhan,Status_Pesanan
ORD-2024-000001,3/22/2024 13:15,Kopi,9000,,27,4,Sesuai pesanan,FALSE,Tidak Ada,Selesai
ORD-2024-000002,1/14/2024 17:05,Mie,21000,3.74223844,37,,,FALSE,Tidak Ada,Selesai
ORD-2024-000003,1/4/2024 12:32,Martabak,33500,12.67714943,49,,,TRUE,Rendah,Selesai
ORD-2024-000004,1/26/2024 22:34,Kopi,13500,2.338085241,20,5,Mantap gan!,FALSE,Tidak Ada,Selesai
ORD-2024-000005,3/16/2024 11:48,Ayam,47500,0.949763606,27,4,Top bgt kualitasnya,TRUE,Rendah,Selesai
ORD-2024-000006,2/24/2024 12:13,Ayam,59500,3.452931835,13,5,Rekomendasi deh,TRUE,Tidak Ada,Selesai
ORD-2024-000007,1/12/2024 19:54,Ayam,60000,11.64387327,43,,,TRUE,Tidak Ada,Selesai
ORD-2024-000008,1/6/2024 17:07,Mie,18500,0.585177075,12,3,Lumayan,TRUE,Rendah,Selesai
ORD-2024-000009,3/11/2024 13:36,Martabak,37500,1.18356624,17,4,Top bgt kualitasnya,FALSE,Tidak Ada,Dibatalkan
ORD-2024-000010,1/6/2024 9:05,Martabak,38500,2.341878607,12,5,Top bgt kualitasnya,FALSE,Tidak Ada,Dibatalkan
ORD-2024-000011,1/13/2024 20:40,Ayam,32500,0.559764624,33,4,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000012,2/17/2024 19:44,Mie,20000,0.5,19,5,Top bgt kualitasnya,TRUE,Rendah,Selesai
ORD-2024-000013,1/10/2024 18:34,Mie,34500,1.232864498,9,,,TRUE,Tidak Ada,Selesai
ORD-2024-000014,2/29/2024 21:14,Ayam,49000,6.015692872,21,3,Standar lah,FALSE,Rendah,Selesai
ORD-2024-000015,1/8/2024 11:51,Ayam,14500,0.5,13,4,Wow enak bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000016,1/9/2024 13:13,Ayam,28000,1.680725511,22,4,Makasih ya,FALSE,Rendah,Selesai
ORD-2024-000017,3/23/2024 19:08,Ayam,47500,4.308985635,45,4,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000018,3/9/2024 14:57,Kopi,11500,9.184500853,46,3,Gapapa,FALSE,Rendah,Selesai
ORD-2024-000019,1/29/2024 4:32,Kopi,14500,12.69573434,46,1,Kecewa bgt,FALSE,Tinggi,Refund
ORD-2024-000020,1/7/2024 4:40,Ayam,52000,1.644385311,7,5,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000021,24/02/2024 20:24,Martabak,41000,9.010343549,48,3,Standar lah,TRUE,Tinggi,Selesai
ORD-2024-000022,3/8/2024 11:43,Ayam,46500,0.5,24,,,FALSE,Tidak Ada,Selesai
ORD-2024-000023,3/9/2024 20:21,Ayam,69500,4.110282149,10,5,Makasih ya,FALSE,Tidak Ada,Dibatalkan
ORD-2024-000024,1/21/2024 19:32,Kopi,22500,3.087925088,24,4,Mantap gan!,FALSE,Tidak Ada,Selesai
ORD-2024-000025,1/14/2024 9:53,Kopi,22500,0.861134257,5,5,Sesuai pesanan,TRUE,Rendah,Selesai
ORD-2024-000026,26/01/2024 12:34,Martabak,32000,2.123677079,7,4,Top bgt kualitasnya,FALSE,Tidak Ada,Selesai
ORD-2024-000027,1/1/2024 20:01,Ayam,18500,,30,4,Enak bgttt,FALSE,Tidak Ada,Selesai
ORD-2024-000028,9/2/2024 12:56,Kopi,18500,6.157748097,43,,,TRUE,Rendah,Selesai
ORD-2024-000029,1/11/2024 2:48,Kopi,21000,1.329024728,9,5,Enak bgt!!!!!!,FALSE,Tidak Ada,Selesai
ORD-2024-000030,1/17/2024 17:10,Ayam,50000,2.950855181,21,3,Lumayan,FALSE,Rendah,Dibatalkan
ORD-2024-000031,3/18/2024 18:59,Martabak,43000,0.518692936,11,5,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000032,3/29/2024 13:25,Ayam,66000,0.692638357,5,4,Cepat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000033,2/26/2024 14:07,Ayam,6869500,14.46862471,59,3,Standar lah,FALSE,Rendah,Selesai
ORD-2024-000034,2/13/2024 12:37,Mie,18500,4.196150336,35,5,Wow enak bgt,FALSE,Rendah,Selesai
ORD-2024-000035,21/03/2024 11:57,Mie,37500,9.808287372,42,,,FALSE,Rendah,Selesai
ORD-2024-000036,1/10/2024 19:42,Mie,36000,1.052296596,20,3,Standar lah,TRUE,Tidak Ada,Selesai
ORD-2024-000037,1/17/2024 18:36,Ayam,52500,0.53940057,9,5,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000038,3/1/2024 6:06,Ayam,28500,2.097909048,7,2,Lama bgt nunggunya,FALSE,Tinggi,Selesai
ORD-2024-000039,2/15/2024 20:55,Martabak,18500,2.047620595,31,,,FALSE,Tidak Ada,Selesai
ORD-2024-000040,3/24/2024 3:03,Kopi,17500,,5,,,TRUE,Tidak Ada,Selesai
ORD-2024-000041,1/14/2024 12:34,Ayam,39500,3.963987951,43,4,Sesuai pesanan,TRUE,Tinggi,Selesai
ORD-2024-000042,1/24/2024 12:55,Kopi,9000,1.347205093,26,5,Makanan hangat sampai,FALSE,Rendah,Selesai
ORD-2024-000043,3/11/2024 11:05,Ayam,25000,,16,4,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000044,31/01/2024 14:30,Mie,22500,1.210326742,12,,,TRUE,Tidak Ada,Selesai
ORD-2024-000045,8/1/2024 11:24,Ayam,55000,2.487991629,17,5,Rekomendasi deh,TRUE,Tidak Ada,Selesai
ORD-2024-000046,2/28/2024 14:09,Martabak,40500,3.889042146,28,4,Makanan hangat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000047,1/8/2024 21:03,Ayam,59500,1.972708243,21,5,Buruan order!11,FALSE,Tidak Ada,Selesai
ORD-2024-000048,1/7/2024 21:58,Kopi,15000,2.237081611,11,,,FALSE,Tidak Ada,Selesai
ORD-2024-000049,1/8/2024 2:54,Kopi,18000,0.5,12,,,FALSE,Tidak Ada,Selesai
